"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Nelson Cruz","Twins","39",".325","11.1%","24.9%","0.44",".408",".673","1.081",".349",".363","1.14","19.9%","42.7%","37.4%","9.0%","37.6%","7.9%","0.0%",".438","31.8%","71.2%","47.0%","53.9%","81.2%","69.9%","38.7%","56.3%","14.2%","40.5%","35.1%","24.4%","12.6%","38.2%","49.2%","570","2434"
"Mike Trout","Angels","28",".295","15.4%","23.0%","0.67",".418",".664","1.081",".369",".307","0.42","28.4%","21.0%","50.6%","9.9%","28.1%","14.1%","0.0%",".436","20.2%","61.7%","37.6%","68.4%","86.4%","80.8%","42.0%","54.6%","7.2%","42.0%","34.6%","23.4%","11.8%","43.5%","44.7%","570","10155"
"Yordan Alvarez","Astros","23",".312","13.8%","25.1%","0.55",".410",".654","1.064",".343",".360","1.05","24.6%","38.6%","36.8%","1.2%","33.3%","3.4%","0.0%",".431","30.3%","63.4%","43.2%","64.1%","85.4%","76.2%","38.8%","53.2%","10.3%","38.6%","37.3%","24.1%","10.1%","38.6%","51.3%","378","19556"
"Alex Bregman","Astros","26",".301","17.0%","11.4%","1.48",".426",".575","1.001",".274",".299","0.73","21.9%","33.0%","45.1%","10.4%","15.3%","2.2%","0.0%",".417","19.4%","57.7%","34.6%","79.4%","92.4%","88.0%","39.7%","53.0%","4.2%","47.3%","36.0%","16.8%","13.6%","44.3%","42.1%","577","17678"
"Juan Soto","Nationals","21",".290","17.8%","17.1%","1.04",".418",".586","1.004",".296",".300","1.24","20.8%","43.9%","35.3%","3.7%","25.7%","4.1%","33.3%",".411","22.6%","67.8%","39.8%","62.5%","87.7%","78.8%","38.1%","55.6%","8.4%","37.9%","38.1%","24.0%","12.4%","44.3%","43.3%","601","20123"
"Salvador Perez","Royals","30",".349","2.6%","18.4%","0.14",".368",".606",".974",".257",".386","0.94","28.1%","34.8%","37.1%","3.0%","18.2%","9.7%","0.0%",".407","46.4%","81.6%","59.8%","65.8%","90.8%","78.8%","38.1%","68.4%","12.7%","41.6%","39.3%","19.1%","11.2%","48.3%","40.5%","114","7304"
"Freddie Freeman","Braves","30",".308","14.3%","17.2%","0.83",".411",".579",".990",".271",".331","1.03","27.3%","36.9%","35.8%","3.8%","22.5%","3.0%","0.0%",".407","32.7%","82.6%","51.4%","71.1%","84.6%","79.2%","37.5%","54.2%","10.7%","39.4%","30.9%","29.8%","10.7%","44.3%","45.0%","659","5361"
"Christian Yelich","Brewers","28",".295","14.0%","25.6%","0.55",".401",".578",".979",".283",".358","1.37","23.3%","44.4%","32.3%","3.7%","30.8%","4.8%","0.0%",".406","27.5%","67.9%","41.7%","53.0%","84.1%","70.8%","35.2%","51.7%","12.2%","39.8%","34.3%","25.9%","11.8%","40.1%","48.2%","559","11477"
"Fernando Tatis Jr.","Padres","21",".305","9.3%","27.0%","0.34",".379",".595",".974",".291",".369","1.51","21.3%","47.3%","31.3%","3.2%","33.0%","10.6%","0.0%",".402","30.2%","72.1%","46.8%","51.9%","81.1%","69.7%","39.6%","58.9%","14.2%","42.1%","38.1%","19.9%","13.9%","37.8%","48.3%","486","19709"
"Anthony Rendon","- - -","30",".308","13.6%","12.0%","1.13",".411",".553",".964",".245",".308","0.82","21.6%","35.2%","43.2%","12.6%","15.5%","5.4%","0.0%",".401","22.9%","69.7%","42.5%","78.9%","93.6%","89.0%","41.9%","60.0%","4.7%","42.6%","33.5%","23.9%","15.3%","40.7%","44.0%","657","12861"
"DJ LeMahieu","Yankees","31",".344","7.0%","12.9%","0.55",".390",".568",".957",".224",".359","2.20","21.8%","53.8%","24.5%","2.6%","24.8%","7.0%","0.0%",".401","30.7%","64.3%","45.0%","77.1%","91.2%","85.7%","42.5%","61.2%","6.4%","27.8%","36.4%","35.8%","14.6%","45.4%","40.0%","598","9874"
"Ketel Marte","Diamondbacks","26",".339","7.4%","11.0%","0.67",".394",".560",".954",".222",".353","1.32","22.3%","44.1%","33.6%","9.4%","14.1%","4.6%","100.0%",".399","31.4%","68.4%","46.2%","78.2%","89.6%","84.9%","40.0%","58.5%","7.0%","42.8%","36.3%","20.9%","17.5%","42.4%","40.1%","554","13613"
"Mookie Betts","- - -","27",".303","12.2%","15.1%","0.81",".387",".568",".955",".265",".311","0.69","26.9%","29.8%","43.3%","6.8%","17.0%","7.8%","0.0%",".395","22.8%","62.0%","39.9%","68.7%","94.0%","85.8%","43.6%","60.6%","5.7%","42.0%","34.9%","23.1%","11.1%","43.1%","45.8%","657","13611"
"Will Smith","Dodgers","25",".272","12.5%","22.2%","0.56",".372",".593",".964",".321",".278","0.52","20.2%","27.3%","52.5%","10.4%","21.9%","14.0%","0.0%",".394","21.6%","64.6%","40.4%","64.2%","86.8%","80.0%","43.6%","55.9%","8.1%","40.4%","39.9%","19.7%","12.0%","45.9%","42.1%","288","19197"
"Jorge Soler","Royals","28",".267","12.6%","26.8%","0.47",".372",".570",".942",".303",".305","0.89","21.7%","36.9%","41.4%","11.7%","29.0%","5.4%","0.0%",".389","25.5%","65.9%","40.7%","49.9%","81.7%","69.2%","37.5%","58.8%","12.5%","48.6%","27.4%","24.0%","12.3%","40.0%","47.7%","604","14221"
"Brandon Nimmo","Mets","27",".268","16.6%","20.8%","0.80",".405",".504",".909",".237",".308","1.27","20.0%","44.7%","35.3%","3.3%","20.0%","4.0%","100.0%",".388","22.2%","67.9%","41.9%","65.4%","86.8%","80.4%","43.2%","62.0%","8.2%","35.7%","28.1%","36.3%","19.9%","55.0%","25.2%","284","12927"
"Aaron Judge","Yankees","28",".270","12.2%","31.6%","0.39",".367",".572",".939",".302",".340","1.13","24.5%","40.1%","35.4%","2.4%","36.9%","8.4%","0.0%",".387","25.0%","69.2%","42.3%","39.9%","79.5%","65.3%","39.3%","59.4%","14.7%","43.9%","33.8%","22.4%","9.7%","37.1%","53.2%","433","15640"
"Jesse Winker","Reds","26",".285","12.8%","19.4%","0.66",".394",".516",".910",".230",".321","1.98","27.1%","48.4%","24.4%","3.6%","29.1%","1.8%","0.0%",".387","23.4%","67.2%","41.8%","66.0%","84.9%","78.7%","42.0%","57.1%","8.9%","43.1%","33.3%","23.6%","13.8%","44.0%","42.2%","345","13590"
"Giancarlo Stanton","Yankees","30",".281","13.8%","28.5%","0.48",".391",".531",".923",".250",".362","1.45","23.4%","45.3%","31.3%","25.0%","30.0%","10.3%","0.0%",".387","26.4%","58.3%","38.0%","55.6%","84.3%","71.6%","36.3%","62.9%","10.8%","53.1%","31.3%","15.6%","28.1%","28.1%","43.8%","116","4949"
"Tim Anderson","White Sox","27",".352","3.4%","21.3%","0.16",".374",".545",".920",".194",".421","1.98","24.7%","50.0%","25.3%","2.1%","19.2%","11.8%","0.0%",".386","45.0%","75.7%","57.7%","60.6%","86.1%","74.5%","41.5%","62.4%","14.7%","32.3%","37.6%","30.1%","15.1%","47.0%","37.9%","497","15172"
"Jeff McNeil","Mets","28",".316","6.4%","13.6%","0.47",".378",".545",".923",".229",".329","1.24","24.2%","42.0%","33.8%","5.7%","17.7%","8.6%","0.0%",".386","43.4%","85.9%","60.9%","73.6%","88.0%","82.0%","41.3%","66.1%","11.0%","44.3%","33.8%","21.9%","12.4%","49.5%","38.1%","545","15362"
"Xander Bogaerts","Red Sox","27",".307","9.6%","17.2%","0.56",".373",".556",".928",".249",".328","1.10","18.6%","42.6%","38.8%","7.1%","18.1%","9.0%","0.0%",".386","29.9%","60.4%","42.4%","67.2%","88.4%","79.5%","40.8%","57.9%","8.7%","41.6%","31.1%","27.3%","15.8%","46.1%","38.2%","644","12161"
"Ronald Acuna Jr.","Braves","22",".274","12.9%","28.3%","0.46",".375",".549",".925",".276",".331","0.92","23.3%","36.8%","39.9%","5.6%","28.5%","9.8%","0.0%",".386","26.1%","70.7%","44.8%","60.6%","78.2%","72.3%","42.0%","60.7%","12.4%","41.0%","33.2%","25.8%","15.5%","36.6%","47.9%","626","18401"
"Bo Bichette","Blue Jays","22",".315","5.8%","21.9%","0.27",".356",".575",".931",".260",".361","1.24","23.9%","42.1%","34.0%","8.5%","22.5%","10.2%","100.0%",".385","40.3%","75.3%","54.4%","69.8%","84.1%","77.8%","40.3%","66.4%","12.1%","40.0%","28.6%","31.4%","15.2%","52.4%","32.4%","292","19612"
"Brad Miller","- - -","30",".264","12.4%","25.8%","0.48",".360",".567",".927",".303",".292","0.99","17.9%","40.7%","41.4%","11.9%","28.4%","9.1%","0.0%",".384","28.6%","66.5%","43.2%","61.7%","77.5%","71.1%","38.7%","57.7%","12.5%","32.5%","43.6%","23.9%","17.2%","37.4%","45.4%","267","12775"
"J.D. Davis","Mets","27",".313","9.1%","21.7%","0.42",".387",".524",".912",".212",".369","1.63","21.5%","48.6%","29.9%","4.0%","22.2%","10.6%","0.0%",".384","28.3%","72.7%","48.0%","61.9%","80.8%","74.6%","44.4%","63.7%","12.2%","36.3%","40.2%","23.6%","13.6%","46.5%","39.9%","493","16219"
"Ian Happ","Cubs","25",".270","12.0%","26.1%","0.46",".360",".563",".922",".293",".311","1.11","19.7%","42.2%","38.1%","7.2%","27.7%","5.4%","50.0%",".383","30.0%","70.5%","47.1%","47.0%","81.6%","68.9%","42.2%","59.4%","14.7%","36.8%","38.6%","24.6%","13.6%","48.6%","37.7%","357","17919"
"Josh Donaldson","- - -","34",".250","15.6%","21.9%","0.71",".377",".540",".917",".290",".258","1.18","19.6%","43.5%","36.9%","12.8%","29.1%","8.0%","0.0%",".382","25.3%","70.9%","42.8%","62.0%","77.2%","71.7%","38.4%","55.4%","12.1%","48.6%","28.7%","22.7%","15.8%","41.0%","43.2%","520","5038"
"Trevor Story","Rockies","27",".296","9.6%","25.5%","0.38",".366",".549",".915",".254",".363","0.71","24.6%","31.2%","44.2%","9.2%","17.2%","9.8%","0.0%",".382","30.3%","70.9%","46.7%","59.9%","85.7%","75.7%","40.4%","57.2%","11.3%","35.5%","36.0%","28.4%","12.7%","44.4%","42.9%","612","12564"
"Dominic Smith","Mets","25",".290","7.2%","23.8%","0.30",".348",".573",".921",".282",".330","1.06","26.2%","38.0%","35.9%","2.9%","24.3%","5.4%","100.0%",".382","36.1%","72.2%","50.7%","64.2%","83.7%","75.4%","40.4%","53.5%","12.5%","45.4%","31.6%","23.0%","13.8%","44.4%","41.8%","290","15653"
"Charlie Blackmon","Rockies","33",".320","7.0%","16.6%","0.42",".371",".551",".922",".231",".346","1.01","25.8%","37.2%","37.0%","8.2%","16.4%","6.4%","50.0%",".382","32.7%","70.9%","49.3%","67.1%","88.8%","80.6%","43.4%","62.9%","9.6%","42.9%","33.0%","24.1%","13.8%","47.8%","38.4%","615","7859"
"Jake Cronenworth","Padres","26",".310","8.1%","15.6%","0.52",".369",".531",".900",".221",".350","1.51","27.3%","43.8%","28.9%","2.9%","11.4%","5.7%","0.0%",".380","22.9%","61.3%","40.9%","70.1%","91.2%","84.9%","46.9%","64.4%","6.2%","32.2%","38.0%","29.8%","16.5%","40.5%","43.0%","160","18036"
"Wilmer Flores","- - -","28",".314","6.6%","13.4%","0.49",".363",".544",".906",".230",".324","0.76","25.2%","32.3%","42.5%","9.3%","14.8%","6.1%","0.0%",".380","32.6%","67.9%","47.1%","80.7%","91.1%","86.9%","41.1%","57.8%","6.2%","49.6%","33.9%","16.5%","14.6%","48.0%","37.4%","320","5827"
"Clint Frazier","Yankees","25",".284","12.6%","28.0%","0.45",".379",".519",".898",".235",".371","0.92","21.6%","37.6%","40.8%","11.8%","17.7%","8.5%","0.0%",".380","21.5%","64.6%","38.0%","40.8%","84.3%","69.1%","38.2%","56.5%","11.7%","40.0%","31.2%","28.8%","17.6%","45.6%","36.8%","214","15983"
"Trea Turner","Nationals","27",".313","7.9%","18.2%","0.43",".371",".531",".902",".219",".356","1.40","20.6%","46.4%","33.1%","11.8%","15.4%","11.0%","100.0%",".378","31.5%","70.1%","46.9%","63.6%","89.6%","79.1%","40.0%","63.2%","9.8%","39.1%","33.2%","27.7%","16.6%","45.1%","38.3%","699","16252"
"Teoscar Hernandez","Blue Jays","27",".268","9.1%","32.4%","0.28",".336",".578",".914",".310",".328","0.86","22.1%","35.9%","42.0%","10.2%","31.4%","7.9%","0.0%",".377","30.5%","70.6%","46.7%","55.7%","77.4%","69.0%","40.3%","66.4%","14.5%","44.5%","32.0%","23.5%","14.2%","37.0%","48.8%","482","13066"
"George Springer","Astros","30",".268","11.9%","19.3%","0.61",".367",".534",".900",".266",".278","1.12","20.3%","42.1%","37.5%","9.9%","24.4%","9.5%","0.0%",".377","24.6%","72.8%","44.5%","58.8%","84.1%","75.9%","41.3%","58.3%","10.7%","42.8%","35.3%","21.8%","19.5%","39.1%","41.4%","523","12856"
"Trey Mancini","Orioles","27",".286","10.5%","20.9%","0.51",".372",".531",".903",".245",".318","1.68","20.8%","49.7%","29.5%","3.4%","27.3%","6.8%","0.0%",".376","32.1%","69.7%","47.0%","63.8%","83.1%","75.1%","39.5%","62.8%","11.7%","35.6%","39.3%","25.2%","14.1%","49.3%","36.6%","446","15149"
"Brandon Lowe","Rays","25",".264","9.8%","28.3%","0.34",".352",".547",".898",".283",".317","0.62","23.2%","29.3%","47.5%","5.8%","22.1%","3.8%","100.0%",".376","29.3%","77.1%","49.9%","50.0%","76.7%","67.8%","43.1%","64.8%","16.1%","42.1%","35.0%","23.0%","13.7%","43.7%","42.6%","307","18882"
"Donovan Solano","Giants","32",".351","4.6%","19.7%","0.24",".383",".501",".884",".151",".425","1.10","32.0%","35.6%","32.4%","5.6%","7.9%","10.2%","0.0%",".376","39.6%","67.7%","51.3%","73.3%","90.9%","83.0%","41.6%","66.9%","8.7%","33.8%","39.3%","26.9%","13.8%","48.4%","37.8%","366","8623"
"Rafael Devers","Red Sox","23",".299","6.0%","20.2%","0.30",".347",".563",".911",".264",".335","1.17","19.5%","43.5%","37.1%","7.8%","19.0%","4.3%","50.0%",".376","42.5%","76.1%","55.7%","71.2%","80.1%","76.0%","39.3%","64.4%","13.4%","40.6%","33.2%","26.2%","16.3%","44.1%","39.6%","665","17350"
"Howie Kendrick","Nationals","36",".331","7.8%","13.5%","0.58",".386",".507",".893",".176",".360","1.63","23.8%","47.2%","29.0%","2.8%","13.9%","4.3%","0.0%",".375","33.8%","66.0%","47.8%","69.5%","93.2%","83.8%","43.5%","64.0%","7.8%","32.5%","42.2%","25.3%","15.7%","39.0%","45.4%","319","4229"
"Jordan Luplow","Indians","26",".262","15.6%","18.2%","0.86",".385",".497",".883",".236",".291","0.81","18.0%","36.7%","45.3%","14.7%","13.2%","3.6%","0.0%",".375","22.5%","73.3%","42.8%","66.2%","84.8%","78.9%","40.0%","57.1%","9.0%","48.7%","25.3%","26.0%","18.0%","42.7%","39.3%","231","16424"
"Brian Anderson","Marlins","27",".281","8.7%","24.7%","0.35",".368",".520",".888",".239",".342","1.35","18.2%","47.0%","34.8%","7.8%","20.4%","7.2%","0.0%",".374","35.5%","68.0%","48.2%","60.3%","82.5%","72.6%","39.2%","65.1%","13.2%","42.2%","30.4%","27.4%","18.9%","37.8%","43.2%","470","18289"
"Luke Voit","Yankees","29",".274","11.8%","28.4%","0.41",".367",".519",".886",".246",".340","1.05","23.1%","39.4%","37.5%","4.0%","26.3%","5.8%","0.0%",".374","29.1%","78.7%","48.3%","50.9%","79.4%","68.9%","38.7%","59.8%","15.0%","48.5%","31.1%","20.5%","14.8%","42.1%","43.2%","450","14811"
"Yoan Moncada","White Sox","25",".306","9.2%","27.7%","0.33",".371",".520",".891",".214",".399","1.12","23.8%","40.2%","36.0%","7.1%","17.9%","9.6%","50.0%",".373","32.1%","66.8%","45.7%","52.7%","86.4%","72.1%","39.3%","60.7%","12.8%","35.8%","36.7%","27.5%","14.1%","46.0%","39.9%","501","17232"
"Kyle Lewis","Mariners","24",".289","10.9%","30.2%","0.36",".364",".521",".884",".231",".370","1.32","19.8%","45.7%","34.6%","5.4%","28.6%","5.4%","0.0%",".373","28.1%","64.7%","44.1%","46.3%","77.4%","66.3%","43.8%","57.1%","14.9%","30.3%","40.1%","29.6%","17.3%","50.0%","32.7%","275","19508"
"Jose Abreu","White Sox","33",".311","4.7%","20.7%","0.23",".354",".541",".895",".230",".349","1.53","23.1%","46.6%","30.4%","8.9%","23.3%","6.3%","0.0%",".373","38.1%","67.1%","49.9%","62.1%","87.4%","75.9%","40.6%","59.6%","12.0%","41.4%","33.9%","24.7%","14.1%","44.1%","41.8%","663","15676"
"Yuli Gurriel","Astros","36",".298","6.3%","10.5%","0.61",".346",".560",".906",".262",".280","0.97","20.0%","39.5%","40.5%","12.4%","17.0%","6.4%","0.0%",".372","35.9%","68.7%","49.3%","78.0%","91.7%","85.8%","40.8%","63.2%","7.0%","43.2%","34.7%","22.1%","16.7%","43.2%","40.1%","584","19198"
"Jose Ramirez","Indians","27",".277","9.4%","14.5%","0.65",".343",".558",".901",".281",".269","0.66","20.2%","31.9%","47.9%","10.8%","16.2%","9.8%","100.0%",".372","25.9%","63.9%","41.7%","79.6%","92.0%","87.5%","41.7%","56.5%","5.2%","51.2%","29.7%","19.1%","19.1%","42.4%","38.5%","510","13510"
"Eloy Jimenez","White Sox","23",".290","6.0%","24.5%","0.24",".335",".564",".899",".273",".326","1.57","19.2%","49.4%","31.5%","9.8%","30.9%","6.7%","0.0%",".372","38.2%","73.5%","51.9%","58.5%","81.3%","71.1%","38.9%","65.8%","15.0%","41.4%","33.8%","24.8%","14.3%","42.7%","43.0%","567","17484"
"Giovanny Urshela","Yankees","28",".299","6.6%","18.1%","0.37",".347",".549",".897",".251",".320","1.11","24.9%","39.5%","35.6%","8.3%","20.0%","6.8%","0.0%",".371","39.3%","77.6%","54.7%","70.5%","85.8%","79.2%","40.1%","65.5%","11.4%","40.4%","34.7%","24.9%","14.2%","45.1%","40.7%","452","10681"
"Cam Gallagher","Royals","27",".296","9.8%","21.0%","0.47",".380",".488",".868",".192",".363","1.19","27.7%","39.4%","33.0%","9.7%","12.9%","0.0%","50.0%",".371","30.0%","59.4%","42.1%","68.6%","89.0%","80.4%","41.1%","62.2%","8.3%","51.0%","21.9%","27.1%","12.5%","55.2%","32.3%","143","12981"
"Michael Conforto","Mets","27",".283","10.8%","22.9%","0.47",".372",".508",".880",".225",".331","1.11","25.2%","39.3%","35.5%","8.8%","21.6%","4.3%","50.0%",".371","28.6%","72.6%","46.5%","62.4%","82.8%","75.4%","40.7%","60.3%","11.5%","36.8%","33.7%","29.6%","13.1%","48.0%","38.9%","650","16376"
"Mark Canha","Athletics","31",".268","13.6%","22.5%","0.60",".395",".466",".861",".198",".325","0.97","20.7%","39.1%","40.2%","14.1%","14.8%","8.7%","0.0%",".371","24.3%","61.1%","39.9%","67.0%","85.3%","78.8%","42.3%","59.7%","8.5%","47.0%","32.6%","20.4%","16.4%","43.1%","40.5%","590","11445"
"Eugenio Suarez","Reds","28",".249","11.4%","29.9%","0.38",".344",".556",".900",".307",".279","0.78","21.0%","34.6%","44.5%","9.6%","30.6%","8.2%","0.0%",".371","26.6%","67.0%","42.9%","52.2%","82.6%","71.4%","40.4%","61.9%","12.3%","53.0%","26.4%","20.7%","15.0%","44.8%","40.2%","616","12552"
"Bryce Harper","Phillies","27",".260","15.8%","21.7%","0.73",".382",".507",".889",".247",".288","0.95","22.6%","37.8%","39.6%","2.7%","22.2%","6.3%","44.4%",".371","32.4%","77.7%","48.1%","55.4%","81.1%","69.8%","34.6%","58.8%","14.5%","34.8%","38.7%","26.5%","9.1%","44.9%","46.0%","626","11579"
"Sam Hilliard","Rockies","26",".255","9.5%","31.3%","0.30",".330",".565",".895",".311",".304","1.10","17.3%","43.3%","39.4%","7.3%","31.7%","6.7%","100.0%",".370","29.5%","64.7%","43.9%","55.6%","77.1%","68.5%","40.9%","56.4%","13.8%","50.5%","31.4%","18.1%","21.0%","41.9%","37.1%","179","17954"
"Justin Turner","Dodgers","35",".283","9.4%","17.0%","0.56",".368",".508",".877",".225",".301","0.77","25.2%","32.6%","42.1%","6.3%","16.2%","10.0%","0.0%",".370","27.1%","66.7%","44.3%","69.7%","89.0%","82.3%","43.4%","55.0%","7.8%","39.4%","34.6%","26.0%","14.5%","34.3%","51.2%","478","5235"
"Ramon Laureano","Athletics","25",".277","8.6%","24.7%","0.35",".363",".521",".884",".244",".323","0.90","24.7%","35.7%","39.6%","7.1%","20.5%","5.9%","0.0%",".370","30.1%","65.4%","45.4%","56.3%","87.4%","75.7%","43.3%","59.6%","11.0%","41.9%","35.2%","22.9%","15.5%","47.5%","37.0%","453","17128"
"Marcus Semien","Athletics","29",".277","10.7%","15.6%","0.69",".357",".526",".883",".249",".289","0.81","21.2%","35.3%","43.5%","8.8%","15.2%","9.1%","0.0%",".369","23.1%","70.1%","42.7%","68.8%","87.3%","81.5%","41.8%","62.7%","7.9%","44.6%","32.0%","23.4%","15.6%","43.4%","41.0%","681","12533"
"Miguel Sano","Twins","27",".243","11.6%","38.3%","0.30",".336",".558",".894",".314",".333","0.94","22.7%","37.4%","39.9%","9.0%","36.9%","6.7%","0.0%",".369","28.1%","68.3%","43.7%","39.8%","77.7%","62.8%","38.6%","58.4%","16.3%","55.8%","28.8%","15.5%","8.6%","36.3%","55.0%","562","12164"
"Luis Guillorme","Mets","25",".319","13.0%","19.4%","0.67",".406",".440",".845",".121",".400","1.60","25.7%","45.7%","28.6%","10.0%","5.0%","0.0%","0.0%",".368","20.4%","57.6%","36.2%","76.8%","86.3%","83.2%","42.5%","60.2%","6.1%","32.9%","30.1%","37.0%","12.3%","50.7%","37.0%","108","16451"
"Adam Duvall","Braves","31",".260","6.1%","28.3%","0.21",".313",".582",".896",".322",".277","0.46","14.2%","26.8%","59.0%","10.7%","22.3%","19.6%","0.0%",".368","34.9%","67.7%","48.8%","59.1%","83.8%","73.6%","42.5%","64.0%","12.9%","46.1%","29.3%","24.6%","16.2%","44.0%","39.8%","297","10950"
"Mike Yastrzemski","Giants","29",".277","9.8%","25.4%","0.38",".354",".529",".883",".252",".334","0.84","20.5%","36.3%","43.2%","11.1%","17.9%","5.9%","60.0%",".368","27.2%","65.9%","44.1%","64.4%","81.4%","75.5%","43.8%","60.7%","10.8%","41.3%","32.6%","26.1%","17.6%","39.5%","42.9%","595","14854"
"Ozzie Albies","Braves","23",".303","7.3%","16.4%","0.45",".356",".529",".885",".226",".333","1.03","24.4%","38.4%","37.2%","8.7%","13.4%","9.7%","100.0%",".367","35.8%","84.4%","55.8%","65.7%","86.2%","78.5%","41.3%","64.0%","12.0%","46.5%","34.8%","18.7%","14.4%","44.8%","40.8%","531","16556"
"Starling Marte","- - -","31",".308","5.2%","14.9%","0.35",".359",".515",".875",".207",".331","1.84","20.6%","51.5%","27.9%","2.5%","18.0%","7.6%","55.6%",".366","36.4%","76.2%","52.4%","65.1%","86.5%","77.6%","40.2%","62.4%","11.7%","41.7%","33.4%","24.9%","15.9%","47.8%","36.3%","577","9241"
"Sean Murphy","Athletics","25",".245","14.5%","26.0%","0.56",".358",".503",".862",".259",".283","1.31","20.6%","45.1%","34.3%","11.4%","28.6%","4.4%","0.0%",".366","26.7%","66.1%","42.7%","59.1%","87.2%","76.8%","40.6%","54.3%","9.9%","39.2%","39.2%","21.6%","13.7%","52.0%","34.3%","173","19352"
"Keston Hiura","Brewers","23",".271","7.6%","30.7%","0.25",".349",".530",".879",".259",".347","1.05","21.7%","40.0%","38.3%","8.1%","25.2%","4.3%","0.0%",".366","34.3%","72.5%","50.2%","49.4%","73.5%","63.8%","41.5%","59.0%","18.2%","32.4%","40.3%","27.2%","16.6%","42.4%","41.0%","498","20003"
"Corey Seager","Dodgers","26",".293","6.3%","17.0%","0.37",".339",".543",".881",".250",".313","1.07","23.6%","39.5%","36.9%","3.5%","16.9%","5.9%","0.0%",".366","32.4%","83.1%","54.3%","54.8%","88.0%","76.7%","43.2%","61.0%","12.6%","38.7%","33.5%","27.8%","11.7%","40.3%","48.1%","505","13624"
"Edwin Rios","Dodgers","26",".235","10.6%","31.9%","0.33",".327",".561",".889",".327",".273","0.84","27.0%","33.3%","39.7%","0.0%","32.0%","4.8%","0.0%",".366","31.8%","68.4%","46.8%","48.9%","80.3%","67.7%","41.1%","62.8%","15.1%","41.3%","30.2%","28.6%","12.7%","31.8%","55.6%","113","18316"
"Alex Dickerson","Giants","30",".285","8.5%","19.5%","0.43",".349",".534",".883",".249",".317","0.89","21.5%","37.0%","41.6%","11.0%","15.4%","3.7%","0.0%",".365","31.9%","73.8%","49.1%","66.8%","87.6%","79.6%","41.1%","53.4%","10.0%","41.1%","30.6%","28.3%","13.2%","44.8%","42.0%","307","12649"
"Nicholas Castellanos","- - -","27",".280","6.9%","22.2%","0.31",".338",".541",".879",".261",".317","0.98","24.4%","37.4%","38.1%","2.4%","19.4%","7.8%","0.0%",".365","39.6%","76.2%","53.7%","54.7%","86.5%","72.0%","38.5%","60.6%","15.0%","38.6%","37.4%","24.0%","11.0%","44.6%","44.4%","640","11737"
"Paul Goldschmidt","Cardinals","32",".268","13.3%","20.8%","0.64",".366",".493",".859",".226",".300","0.90","22.3%","36.7%","40.9%","9.1%","17.6%","10.8%","0.0%",".363","29.9%","66.5%","44.9%","68.9%","82.7%","77.3%","41.0%","60.9%","10.2%","38.0%","35.5%","26.6%","14.9%","44.2%","40.9%","616","9218"
"Pete Alonso","Mets","25",".245","11.2%","25.4%","0.44",".353",".525",".877",".280",".264","0.98","17.1%","41.0%","42.0%","15.6%","27.0%","8.0%","0.0%",".363","33.8%","68.6%","46.3%","58.8%","84.0%","72.2%","35.9%","59.0%","12.9%","44.0%","35.9%","20.1%","16.3%","47.0%","36.7%","661","19251"
"J.D. Martinez","Red Sox","32",".279","10.6%","23.6%","0.45",".358",".515",".873",".235",".327","1.22","23.4%","42.1%","34.5%","3.6%","21.4%","7.0%","0.0%",".362","31.7%","75.5%","49.4%","56.0%","85.2%","74.0%","40.4%","60.9%","12.8%","40.4%","34.5%","25.1%","11.6%","45.3%","43.1%","624","6184"
"Nate Lowe","Rays","24",".265","10.7%","32.1%","0.33",".351",".524",".875",".259",".345","1.21","22.3%","42.6%","35.1%","12.1%","30.3%","5.0%","0.0%",".362","29.6%","62.9%","42.9%","59.2%","84.1%","73.8%","39.9%","55.4%","11.3%","41.5%","31.9%","26.6%","12.8%","44.7%","42.6%","168","19566"
"A.J. Pollock","Dodgers","32",".283","6.0%","22.2%","0.27",".334",".537",".871",".253",".310","1.02","21.7%","39.5%","38.8%","10.1%","22.0%","9.0%","0.0%",".361","33.5%","64.9%","47.0%","54.9%","88.3%","74.6%","42.7%","64.8%","11.9%","47.5%","29.4%","23.1%","14.5%","40.4%","45.0%","401","9256"
"Cameron Maybin","- - -","33",".284","8.5%","27.0%","0.31",".348",".513",".860",".229",".361","1.34","17.6%","47.3%","35.2%","13.8%","19.0%","12.8%","0.0%",".361","30.2%","67.9%","45.2%","52.1%","82.8%","70.5%","39.8%","59.9%","13.4%","44.0%","37.4%","18.7%","19.9%","39.2%","41.0%","259","5223"
"Marcell Ozuna","- - -","29",".270","12.5%","22.1%","0.56",".361",".494",".854",".223",".308","1.16","24.4%","40.6%","34.9%","13.8%","22.0%","6.3%","0.0%",".361","29.7%","67.8%","43.8%","57.2%","84.9%","73.1%","37.0%","56.5%","11.8%","48.0%","33.2%","18.8%","12.2%","40.1%","47.7%","538","10324"
